FECHA,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
2017-04-08,2.0,3.0,0.0,2.0,2.0,0.0,3.0,4.0,5.0,3.0,4.0,9.0,8.0,12.0,12.0,8.0,8.0,3.0,4.0,11.0,2.0,3.0,0.0,2.0
2017-04-09,4.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,5.0,4.0,6.0,2.0,1.0,7.0,4.0,1.0,5.0,0.0,2.0,2.0,0.0
2017-04-10,0.0,0.0,0.0,3.0,0.0,3.0,4.0,6.0,1.0,7.0,6.0,7.0,11.0,8.0,7.0,8.0,10.0,11.0,16.0,10.0,3.0,4.0,1.0,3.0
2017-04-11,0.0,0.0,0.0,0.0,2.0,3.0,6.0,5.0,6.0,5.0,7.0,9.0,6.0,7.0,5.0,5.0,9.0,6.0,6.0,5.0,3.0,4.0,2.0,2.0
2017-04-12,0.0,1.0,0.0,0.0,3.0,4.0,8.0,11.0,7.0,5.0,4.0,8.0,11.0,9.0,12.0,12.0,14.0,11.0,6.0,9.0,5.0,4.0,5.0,3.0
2017-04-13,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,4.0,6.0,3.0,4.0,1.0,7.0,2.0,2.0,1.0,0.0,5.0,4.0,2.0
2017-04-14,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0
2017-04-15,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,3.0,6.0,5.0,7.0,8.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0
2017-04-16,2.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,6.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,5.0,0.0,4.0,4.0,1.0,1.0,3.0,3.0
2017-04-17,1.0,3.0,1.0,0.0,0.0,2.0,7.0,4.0,3.0,5.0,5.0,5.0,9.0,12.0,4.0,11.0,7.0,10.0,7.0,2.0,4.0,2.0,3.0,0.0
